location_id,city,state_province,country,latitude,longitude,population,timezone,economic_tier,cost_of_living_index,primary_industries,climate_type,gdp_per_capita
101,New York,NY,USA,40.7128,-74.006,8400000,EST,Tier1,100,Finance Technology Media,Humid Continental,85000
102,Los Angeles,CA,USA,34.0522,-118.2437,3900000,PST,Tier1,95,Entertainment Technology Aerospace,Mediterranean,75000
103,Chicago,IL,USA,41.8781,-87.6298,2700000,CST,Tier1,85,Manufacturing Finance Transportation,Continental,70000
104,Houston,TX,USA,29.7604,-95.3698,2300000,CST,Tier1,80,Energy Technology Healthcare,Humid Subtropical,65000
105,Phoenix,AZ,USA,33.4484,-112.074,1600000,MST,Tier2,75,Technology Manufacturing Tourism,Desert,60000
106,Philadelphia,PA,USA,39.9526,-75.1652,1500000,EST,Tier1,82,Healthcare Education Manufacturing,Humid Subtropical,62000
107,San Antonio,TX,USA,29.4241,-98.4936,1500000,CST,Tier2,72,Military Healthcare Tourism,Humid Subtropical,55000
108,San Diego,CA,USA,32.7157,-117.1611,1400000,PST,Tier1,98,Military Technology Tourism,Mediterranean,70000
109,Dallas,TX,USA,32.7767,-96.797,1300000,CST,Tier1,78,Technology Finance Transportation,Humid Subtropical,68000
110,San Jose,CA,USA,37.3382,-121.8863,1000000,PST,Tier1,105,Technology Venture Capital,Mediterranean,95000
